target,Timestamp,Chuva_alto_da_boa_vista,Temperatura_alto_da_boa_vista,Umidade_alto_da_boa_vista,Chuva_guaratiba,Temperatura_guaratiba,Umidade_guaratiba,Chuva_iraja,Temperatura_iraja,Umidade_iraja,Chuva_jardim_botanico,Temperatura_jardim_botanico,Umidade_jardim_botanico,Chuva_rio_centro,Temperatura_rio_centro,Umidade_rio_centro,Chuva_santa_cruz,Temperatura_santa_cruz,Umidade_santa_cruz,Chuva_sao_cristovao,Temperatura_sao_cristovao,Umidade_sao_cristovao
0,2020-01-01 00:00:00,0,23.5,95,0,23.4,100,0,27.9,76,0,25.5,86,0,26.1,77,0,25.1,86,0,27.4,68
0,2020-01-01 00:15:00,0,23,94,0,23.4,100,0,27.9,76,0,25.2,85,0,26.2,76,0,25.2,85,0,27.5,68
0,2020-01-01 00:30:00,0,22.7,96,0,22.9,100,0,27.7,77,0,25.5,84,0,26.5,76,0,25.4,84,0,27.3,69
0,2020-01-01 00:45:00,0,22.7,98,0,23.1,100,0,27.7,77,0,24.8,86,0,26.4,76,0,25.2,84,0,27.5,69
0,2020-01-01 01:00:00,0,23.5,94,0,23.1,100,0,27.6,77,0,24.9,85,0,26.4,76,0,25.2,84,0,27.3,70
0,2020-01-01 01:15:00,0,23.2,95,0,23.2,100,0,27.5,77,0,25.3,84,0,26,77,0,25,84,0,26.9,71
0,2020-01-01 01:30:00,0,23,96,0,23,100,0,27.3,77,0,24.6,87,0,26.5,77,0,25,84,0,27.1,71
0,2020-01-01 01:45:00,0,23,95,0,23,100,0,27.3,77,0,24.5,86,0,26.3,77,0,24.8,83,0,26.7,71
0,2020-01-01 02:00:00,0,23.7,84,0,23,100,0,27.1,77,0,24.7,86,0,26.6,77,0,25.1,80,0,27.1,69
0,2020-01-01 02:15:00,0,23.5,85,0,22.9,100,0,27,77,0,24.9,85,0,26.5,76,0,25.5,77,0,26.9,70
0,2020-01-01 02:30:00,0,23.5,85,0,22.9,100,0,26.9,77,0,24.7,86,0,26.1,79,0,25.6,76,0,26.7,71
0,2020-01-01 02:45:00,0,23.2,88,0,22.9,100,0,26.7,78,0,24.1,87,0,26.9,75,0,25.5,76,0,26.2,70
0,2020-01-01 03:00:00,0,22.5,93,0,23,100,0,26.4,78,0,24.2,89,0,26.2,77,0,25.5,76,0,26.7,69
0,2020-01-01 03:15:00,0,22,94,0,23,100,0,26.3,79,0,24.3,87,0,25.7,80,0,25.5,75,0,26.4,72
0,2020-01-01 03:30:00,0,21.8,94,0,23.2,100,0,26.1,80,0,24.6,85,0,26.6,75,0,25.7,74,0,26.3,73
0,2020-01-01 03:45:00,0,21.8,94,0,23.5,100,0,26.1,81,0,24.9,84,0,26.8,74,0,25.9,73,0,26.4,73
0,2020-01-01 04:00:00,0,22,92,0,23.5,100,0,26.2,81,0,24.8,87,0,26.9,73,0,26,72,0,26.3,73
0,2020-01-01 04:15:00,0,22,92,0,23.5,100,0,26.1,81,0,24.9,84,0,27,74,0,26.2,71,0,26,73
0,2020-01-01 04:30:00,0,22,91,0,23.4,100,0,26.1,82,0,24.8,83,0,26.8,74,0,25.9,72,0,26,73
0,2020-01-01 04:45:00,0,22.3,89,0,23.8,100,0,26,82,0,24.1,85,0,26.7,74,0,26,71,0,26.3,72
0,2020-01-01 05:00:00,0,22,92,0,23.5,100,0,26,82,0,24.9,85,0,26.6,75,0,26.1,71,0,26,74
0,2020-01-01 05:15:00,0,22,93,0,24,98,0,26.2,82,0,24.8,87,0,26.3,77,0,26.1,71,0,26.2,74
0,2020-01-01 05:30:00,0,22.7,89,0,24.5,94,0,26.5,82,0,25.1,84,0,26.8,75,0,26.2,71,0,26.3,73
0,2020-01-01 05:45:00,0,23.7,83,0,25.1,89,0,26.8,81,0,25.9,81,0,27.3,73,0,26.6,70,0,26.2,72
0,2020-01-01 06:00:00,0,24.2,81,0,25.9,83,0,27,81,0,25.7,82,0,27,73,0,27.1,68,0,26.8,71
0,2020-01-01 06:15:00,0,24.2,81,0,26.8,77,0,27.7,78,0,26.5,81,0,27.8,70,0,27.7,67,0,26.8,68
0,2020-01-01 06:30:00,0,24.5,81,0,27.1,75,0,27.9,77,0,27.6,75,0,28.4,69,0,28,67,0,27.3,67
0,2020-01-01 06:45:00,0,25.4,77,0,27.9,72,0,28.4,76,0,28.2,74,0,28.4,68,0,28,67,0,28.4,64
0,2020-01-01 07:00:00,0,26.4,76,0,28.6,69,0,29.8,72,0,29.6,69,0,29,65,0,28.5,66,0,27.6,66
0,2020-01-01 07:15:00,0,27.1,68,0,29.5,64,0,30.1,70,0,29.8,68,0,29.8,63,0,29.2,64,0,28,66
0,2020-01-01 07:30:00,0,27.9,65,0,30.7,59,0,30.8,67,0,31.2,64,0,30.9,59,0,30,62,0,29.1,64
0,2020-01-01 07:45:00,0,28.8,62,0,31.3,58,0,31,66,0,30.8,60,0,31.2,57,0,30.5,61,0,28.7,64
0,2020-01-01 08:00:00,0,29.6,58,0,32,53,0,32,63,0,30.5,60,0,31.4,56,0,31.1,58,0,28.8,65
0,2020-01-01 08:15:00,0,30.3,57,0,32.8,52,0,32.1,61,0,31.5,58,0,32.2,53,0,31,59,0,29.7,59
0,2020-01-01 08:30:00,0,30.6,54,0,33,49,0,32.8,58,0,30.7,60,0,32.4,52,0,32,57,0,30.1,59
0,2020-01-01 08:45:00,0,30.8,51,0,33.6,47,0,33,57,0,31.6,59,0,33.3,50,0,32.3,55,0,30.8,57
0,2020-01-01 09:00:00,0,30.6,51,0,33.6,46,0,33.2,56,0,32.1,58,0,33.9,49,0,32.3,55,0,30.6,55
0,2020-01-01 09:15:00,0,31.3,49,0,34.5,44,0,33.7,56,0,32,59,0,33.8,50,0,32.4,54,0,32.8,49
0,2020-01-01 09:30:00,0,31.3,52,0,34.5,45,0,34.2,54,0,32.4,58,0,34.5,49,0,32.9,54,0,32,49
0,2020-01-01 09:45:00,0,32.3,49,0,35.4,44,0,34.3,54,0,31.8,59,0,35.2,47,0,33.1,54,0,32,48
0,2020-01-01 10:00:00,0,32.8,50,0,35.6,42,0,34.7,53,0,32.9,56,0,35.1,47,0,33.5,53,0,32.3,46
0,2020-01-01 10:15:00,0,32.5,52,0,36.5,42,0,33.1,51,0,32.2,58,0,35.5,46,0,34.4,52,0,32.3,41
